Total codepoints: 1114112
Divergent codepoints: 85119
Divergent ranges: 2487

By class pair:

  elixir=error:0 js=identifier:1 -> 82934 codepoints
  elixir=error:0 js=error:1 -> 1190 codepoints
  elixir=error:0 js=atom:1 -> 991 codepoints
  elixir=error:1 js=error:0 -> 3 codepoints
  elixir=identifier:1 js=error:0 -> 1 codepoints

Ranges:

1619-1619        | elixir=error:0 | js=error:1 (ٓ)
1622-1631        | elixir=error:0 | js=error:1
1646-1647        | elixir=error:0 | js=identifier:1 (ٮٯ)
1649-1649        | elixir=error:0 | js=identifier:1 (ٱ)
1651-1651        | elixir=error:0 | js=identifier:1 (ٳ)
1653-1656        | elixir=error:0 | js=identifier:1 (ٵٶٷٸ)
1680-1680        | elixir=error:0 | js=identifier:1 (ڐ)
1691-1694        | elixir=error:0 | js=identifier:1 (ڛڜڝڞ)
1697-1697        | elixir=error:0 | js=identifier:1 (ڡ)
1699-1699        | elixir=error:0 | js=identifier:1 (ڣ)
1708-1708        | elixir=error:0 | js=identifier:1 (ڬ)
1714-1714        | elixir=error:0 | js=identifier:1 (ڲ)
1716-1716        | elixir=error:0 | js=identifier:1 (ڴ)
1720-1721        | elixir=error:0 | js=identifier:1 (ڸڹ)
1727-1727        | elixir=error:0 | js=identifier:1 (ڿ)
1750-1756        | elixir=error:0 | js=error:1
1759-1764        | elixir=error:0 | js=error:1
1765-1766        | elixir=error:0 | js=identifier:1 (ۥۦ)
1767-1768        | elixir=error:0 | js=error:1 (ۧۨ)
1770-1773        | elixir=error:0 | js=error:1 (۪ۭ۫۬)
1786-1788        | elixir=error:0 | js=identifier:1 (ۺۻۼ)
1872-1872        | elixir=error:0 | js=identifier:1 (ݐ)
1875-1877        | elixir=error:0 | js=identifier:1 (ݓݔݕ)
1879-1887        | elixir=error:0 | js=identifier:1
1889-1889        | elixir=error:0 | js=identifier:1 (ݡ)
1892-1893        | elixir=error:0 | js=identifier:1 (ݤݥ)
1897-1897        | elixir=error:0 | js=identifier:1 (ݩ)
1899-1901        | elixir=error:0 | js=identifier:1 (ݫݬݭ)
1906-1919        | elixir=error:0 | js=identifier:1
2160-2183        | elixir=error:0 | js=identifier:1
2185-2190        | elixir=error:0 | js=identifier:1
2191-2191        | elixir=identifier:1 | js=error:0 (࢏)
2199-2207        | elixir=error:0 | js=error:1
2209-2209        | elixir=error:0 | js=identifier:1 (ࢡ)
2218-2234        | elixir=error:0 | js=identifier:1
2243-2246        | elixir=error:0 | js=identifier:1 (ࣃࣄࣅࣆ)
2248-2249        | elixir=error:0 | js=identifier:1 (ࣈࣉ)
2250-2273        | elixir=error:0 | js=error:1
2275-2304        | elixir=error:0 | js=error:1
2308-2308        | elixir=error:0 | js=identifier:1 (ऄ)
2316-2316        | elixir=error:0 | js=identifier:1 (ऌ)
2345-2345        | elixir=error:0 | js=identifier:1 (ऩ)
2356-2356        | elixir=error:0 | js=identifier:1 (ऴ)
2365-2365        | elixir=error:0 | js=identifier:1 (ऽ)
2372-2372        | elixir=error:0 | js=error:1 (ॄ)
2382-2382        | elixir=error:0 | js=error:1 (ॎ)
2384-2384        | elixir=error:0 | js=identifier:1 (ॐ)
2385-2389        | elixir=error:0 | js=error:1
2392-2401        | elixir=error:0 | js=identifier:1
2402-2403        | elixir=error:0 | js=error:1 (ॢॣ)
2417-2417        | elixir=error:0 | js=identifier:1 (ॱ)
2424-2426        | elixir=error:0 | js=identifier:1 (ॸॹॺ)
2429-2429        | elixir=error:0 | js=identifier:1 (ॽ)
2432-2432        | elixir=error:0 | js=identifier:1 (ঀ)
2444-2444        | elixir=error:0 | js=identifier:1 (ঌ)
2493-2493        | elixir=error:0 | js=identifier:1 (ঽ)
2519-2519        | elixir=error:0 | js=error:1 (ৗ)
2524-2525        | elixir=error:0 | js=identifier:1 (ড়ঢ়)
2527-2529        | elixir=error:0 | js=identifier:1 (য়ৠৡ)
2530-2531        | elixir=error:0 | js=error:1 (ৢৣ)
2556-2556        | elixir=error:0 | js=identifier:1 (ৼ)
2558-2558        | elixir=error:0 | js=error:1 (৾)
2561-2561        | elixir=error:0 | js=error:1 (ਁ)
2563-2563        | elixir=error:0 | js=error:1 (ਃ)
2611-2611        | elixir=error:0 | js=identifier:1 (ਲ਼)
2614-2614        | elixir=error:0 | js=identifier:1 (ਸ਼)
2641-2641        | elixir=error:0 | js=error:1 (ੑ)
2649-2651        | elixir=error:0 | js=identifier:1 (ਖ਼ਗ਼ਜ਼)
2654-2654        | elixir=error:0 | js=identifier:1 (ਫ਼)
2662-2671        | elixir=error:0 | js=error:1
2674-2676        | elixir=error:0 | js=identifier:1 (ੲੳੴ)
2677-2677        | elixir=error:0 | js=error:1 (ੵ)
2689-2689        | elixir=error:0 | js=error:1 (ઁ)
2749-2749        | elixir=error:0 | js=identifier:1 (ઽ)
2768-2768        | elixir=error:0 | js=identifier:1 (ૐ)
2784-2785        | elixir=error:0 | js=identifier:1 (ૠૡ)
2786-2787        | elixir=error:0 | js=error:1 (ૢૣ)
2809-2809        | elixir=error:0 | js=identifier:1 (ૹ)
2810-2815        | elixir=error:0 | js=error:1
2828-2828        | elixir=error:0 | js=identifier:1 (ଌ)
2869-2869        | elixir=error:0 | js=identifier:1 (ଵ)
2877-2877        | elixir=error:0 | js=identifier:1 (ଽ)
2884-2884        | elixir=error:0 | js=error:1 (ୄ)
2901-2901        | elixir=error:0 | js=error:1 (୕)
