# NOTE: Due to Unicode character width variations, the formatting will appear
# broken in text editors. For proper viewing, use: cat mappings_comparison.txt
================================================================================

Total codepoints: 1114112
Inconsistencies found: 2210

Inconsistencies:

Codepoint | Char    | Elixir Result | JavaScript Result
55933     | invalid | -             | 55933
55934     | invalid | -             | 55934
55935     | invalid | -             | 55935
55936     | invalid | -             | 55936
55937     | invalid | -             | 55937
55938     | invalid | -             | 55938
55939     | invalid | -             | 55939
55940     | invalid | -             | 55940
55941     | invalid | -             | 55941
55942     | invalid | -             | 55942
55943     | invalid | -             | 55943
55944     | invalid | -             | 55944
55945     | invalid | -             | 55945
55946     | invalid | -             | 55946
55947     | invalid | -             | 55947
55948     | invalid | -             | 55948
55949     | invalid | -             | 55949
55950     | invalid | -             | 55950
55951     | invalid | -             | 55951
55952     | invalid | -             | 55952
55953     | invalid | -             | 55953
55954     | invalid | -             | 55954
55955     | invalid | -             | 55955
55956     | invalid | -             | 55956
55957     | invalid | -             | 55957
55958     | invalid | -             | 55958
55959     | invalid | -             | 55959
55960     | invalid | -             | 55960
55961     | invalid | -             | 55961
55962     | invalid | -             | 55962
55963     | invalid | -             | 55963
55964     | invalid | -             | 55964
55965     | invalid | -             | 55965
55966     | invalid | -             | 55966
55967     | invalid | -             | 55967
55968     | invalid | -             | 55968
55969     | invalid | -             | 55969
55970     | invalid | -             | 55970
55971     | invalid | -             | 55971
55972     | invalid | -             | 55972
55973     | invalid | -             | 55973
55974     | invalid | -             | 55974
55975     | invalid | -             | 55975
55976     | invalid | -             | 55976
55977     | invalid | -             | 55977
55978     | invalid | -             | 55978
55979     | invalid | -             | 55979
55980     | invalid | -             | 55980
55981     | invalid | -             | 55981
55982     | invalid | -             | 55982
55983     | invalid | -             | 55983
55984     | invalid | -             | 55984
55985     | invalid | -             | 55985
55986     | invalid | -             | 55986
55987     | invalid | -             | 55987
55988     | invalid | -             | 55988
55989     | invalid | -             | 55989
55990     | invalid | -             | 55990
55991     | invalid | -             | 55991
55992     | invalid | -             | 55992
55993     | invalid | -             | 55993
55994     | invalid | -             | 55994
55995     | invalid | -             | 55995
55996     | invalid | -             | 55996
55997     | invalid | -             | 55997
55998     | invalid | -             | 55998
55999     | invalid | -             | 55999
56000     | invalid | -             | 56000
56001     | invalid | -             | 56001
56002     | invalid | -             | 56002
56003     | invalid | -             | 56003
56004     | invalid | -             | 56004
56005     | invalid | -             | 56005
56006     | invalid | -             | 56006
56007     | invalid | -             | 56007
56008     | invalid | -             | 56008
56009     | invalid | -             | 56009
